Abbreviation,Full_Name,Canonical_Key
oci,Ocimum Canum,ocimum canum
ol-an,Oleum Animale,oleum animale
ol-j,Oleum Jecoris Aselli,oleum jecoris aselli
olnd,Oleander,oleander
onos,Onosmodium,onosmodium
op,Opium,opium
orig,Origanum Majorana,origanum majorana
osm,Osmium,osmium
ov,Ovinine,ovinine
ox-ac,Oxalicum Acidum,oxalicum acidum
oxyt,Oxytropis Lamberti,oxytropis lamberti
ozone,Ozone (Oxygenium),ozone
pall,Palladium,palladium
par,Paris Quadrifolia,paris quadrifolia
pareir,Pareira Brava,pareira brava
paull,Paullinia Pinnata,paullinia pinnata
ped,Pediculus Capitis,pediculus capitis
pen,Penthorum,penthorum
per,Persica,persica
peti,Petiveria,petiveria
petr,Petroleum,petroleum
petros,Petroselinum,petroselinum
ph-ac,Phosphoricum Acidum,phosphoricum acidum
phal,Phallus Impudicus,phallus impudicus
phase,Phaseolus Nanus,phaseolus nanus
phel,Phellandrium,phellandrium
phos,Phosphorus,phosphorus
phys,Physostigma,physostigma
phyt,Phytolacca Decandra,phytolacca decandra
pic-ac,Picricum Acidum,picricum acidum
pimp,Pimpinella Saxifraga,pimpinella saxifraga
pin-s,Pinus Sylvestris,pinus sylvestris
pip-m,Piper Methysticum,piper methysticum
pip-n,Piper Nigrum,piper nigrum
plan,Plantago Major,plantago major
plat,Platinum Metallicum,platinum metallicum
plat-m,Platinum Muriaticum,platinum muriaticum
plb,Plumbum Metallicum,plumbum metallicum
plect,Plectranthus,plectranthus
plumbg,Plumbago Littoralis,plumbago littoralis
podo,Podophyllum Peltatum,podophyllum peltatum
polyg-h,Polygonum Hydropiperoides,polygonum hydropiperoides
pop-t,Populus Tremuloides,populus tremuloides
poth,Pothos Fœtidus,pothos foetidus
prun-p,Prunus Padus,prunus padus
prun-s,Prunus Spinosa,prunus spinosa
psor,Psorinum,psorinum
ptel,Ptelea Trifoliata,ptelea trifoliata
puls,Pulsatilla Nigricans,pulsatilla
puls-n,Pulsatilla Nuttaliana,pulsatilla nuttaliana
pulx,Pulex Irritans,pulex irritans
pyrog,Pyrogenium,pyrogenium
pyrus,Pyrus Americana,pyrus americana
rad,Radium,radium
ran-a,Ranunculus Acris,ranunculus acris
ran-b,Ranunculus Bulbosus,ranunculus bulbosus
ran-s,Ranunculus Sceleratus,ranunculus sceleratus
raph,Raphanus,raphanus
rat,Ratanhia,ratanhia
rheum,Rheum,rheum
rhod,Rhododendron,rhododendron
rhus-a,Rhus aromatica,rhus aromatica
rhus-g,Rhus Glabra,rhus glabra
rhus-r,Rhus Radicans,rhus radicans
rhus-t,Rhus Toxicodendron,rhus toxicodendron
rhus-v,Rhus Venenata,rhus venenata
rob,Robinia Pseudacacia,robinia pseudacacia
rumx,Rumex Crispus,rumex crispus
ruta,Ruta Graveolens,ruta graveolens
sabad,Sabadilla,sabadilla
sabal,Sabal Serrulata,sabal serrulata
sabin,Sabina,sabina
sac-l,Saccharum Lactis,saccharum lactis
sacc,Saccharum Album,saccharum album
sal-ac,Salicylicum Acidum,salicylicum acidum
sal-n,Salix Niger,salix niger
salam,Salamander,salamander
samb,Sambucus Nigra,sambucus nigra
sang,Sanguinaria Canadensis,sanguinaria canadensis
sang-n,Sanguinaria Nitrica,sanguinaria nitrica
sanic,Sanicula Aqua,sanicula aqua
sant,Santoninum,santoninum
sarr,Sarracenia Purpurea,sarracenia purpurea
sars,Sarsaparilla,sarsaparilla
scut,Scutellaria Lateriflora,scutellaria lateriflora
sec,Secale Cornutum,secale cornutum
sel,Selenium,selenium
senec,Senecio Aureus,senecio aureus
seneg,Senega,senega
senn,Senna,senna
sep,Sepia,sepia
serp,Serpentaria,serpentaria
sil,Silicea,silicea
sin-a,Sinapis Alba,sinapis alba
sin-n,Sinapis Nigra,sinapis nigra
sol-m,Solanum Mammosum,solanum mammosum
sol-n,Solanum Nigrum,solanum nigrum
sol-o,Solanum Oleraceum,solanum oleraceum
sol-v,Solidago Virg. aur,solidago virg aur
spig,Spigelia Anthelmia,spigelia anthelmia
spig-m,Spigelia Marilandica,spigelia marilandica
spira,Spiranthes,spiranthes
spong,Spongia Tosta,spongia tosta
squil,Squilla hispanica,squilla hispanica
stach,Stachys Betonica,stachys betonica
stann,Stannum Metallicum,stannum metallicum
staph,Staphysagria,staphysagria
stel,Stellaria Media,stellaria media
stict,Sticta Pulmonaria,sticta pulmonaria
still,Stillingia Sylvatica,stillingia sylvatica
stram,Stramonium,stramonium
stront,Strontium,strontium
stroph,Strophanthus Hispidus,strophanthus hispidus
stry,Strychninum,strychninum
sul-ac,Sulphuricum Acidum,sulfuricum acidum
sul-i,Sulphur Iodatum,sulfur iodatum
sulph,Sulphur,sulfur
sumb,Sumbul,sumbul
sym-r,Symphoricarpus Racemosus,symphoricarpus racemosus
symph,Symphytum Officinale,symphytum officinale
syph,Syphilinum,syphilinum
tab,Tabacum,tabacum
tanac,Tanacetum Vulgare,tanacetum vulgare
tann,Tanninum,tanninum
tarax,Taraxacum,taraxacum
tarent,Tarentula Hispanica,tarentula hispana
tarent-c,Tarentula Cubensis,tarentula cubensis
tart-ac,Tartaricum Acid,tartaricum acid
tax,Taxus Baccata,taxus baccata
tell,Tellurium,tellurium
tep,Teplitz,teplitz
ter,Terebinthina,terebinthina
teucr,Teucrium Marum Verum,teucrium marum verum
thal,Thallium,thallium
thea,Thea Sinensis,thea sinensis
ther,Theridion,theridion
thlaspi,Thlaspi Bursa Pastoris,thlaspi bursa pastoris
thuj,Thuja Occidentalis,thuya occidentalis
til,Tilia Europœa,tilia europoea
tong,Tongo,tongo
trif-p,Trifolium Pratense,trifolium pratense
tril,Trillium Pendulum,trillium pendulum
trio,Triosteum Perfoliatum,triosteum perfoliatum
trom,Trombidium Muscæ Domesticæ,trombidium muscae domesticae
tub,Tuberculinum,tuberculinum
tus-f,Tussilago Fragrans,tussilago fragrans
tus-p,Tussilago Petasites,tussilago petasites
upa,Upas Tiente,upas tiente
uran,Uranium Nitricum,uranium nitricum
urt-u,Urtica Urens,urtica urens
ust,Ustilago Maydis,ustilago maydis
uva,Uva Ursi,uva ursi
vac,Vaccininum,vaccininum
valer,Valeriana,valeriana
vario,Variolinum,variolinum
verat,Veratrum Album,veratrum album
verat-v,Veratrum Viride,veratrum viride
verb,Verbascum Thapsus,verbascum thapsus
vesp,Vespa Crabro,vespa crabro
vib,Viburnum Opulus,viburnum opulus
vinc,Vinca Minor,vinca minor
viol-o,Viola Odorata,viola odorata
viol-t,Viola Tricolor,viola tricolor
vip,Vipera,vipera
visc,Viscum Album,viscum album
wies,Wiesbaden,wiesbaden
wild,Wildbad,wildbad
wye,Wyethia Helenioides,wyethia helenioides
xan,Xanthoxylum Fraxineum,xanthoxylum fraxineum
yuc,Yucca,yucca
zinc,Zincum Metallicum,zincum metallicum
zinc-ac,Zincum Aceticum,zincum aceticum
zinc-c,Zincum Cyanatum,zincum cyanatum
zinc-m,Zincum Muriaticum,zincum muriaticum
zinc-ox,Zincum Oxydatum,zincum oxydatum
zinc-s,Zincum Sulphuricum,zincum sulfuricum
zing,Zingiber,zingiber
ziz,Zizia Aurea,zizia aurea
