Medicine,Symptom_Count,Max_Grade,Chapters_Covered,Top_Chapters,Aggravations_Sample,Ameliorations_Sample,Mind_Rubrics_Sample,Key_Rubrics_Sample
pimples,1,1,1,HEAD(1),,,,
pin-s,6,1,4,KIDNEYS(3); EAR(1); FACE(1); STOMACH(1),,,,
pinched,1,2,1,NOSE(1),,,,[g2|NOSE] PICKING nose / the affected parts
pip-,2,1,2,MIND(1); HEAD(1),,,"DULLNESS, sluggishness, difficulty of thinking and comprehending / evening",
pip-m,107,2,11,HEAD(57); MIND(21); FACE(7); VERTIGO(6); STOMACH(6); RECTUM(5),"PAIN, morning (agg.) / waking, on | PAIN, pressing, motion, on (agg.) / amel. | PAIN, sore, bruised, jarring agg. / Occiput | PAIN, sore, bruised, occiput, motion, on (agg.) / 3 p.m. | PAIN, sore, bruised, occiput, motion, on (agg.) / evening | PAIN, sore, bruised, occiput, motion, on (agg.) / eyes over | PAIN, sore, bruised, occiput, motion, on (agg.) / mental exertion, after | PAIN, sore, bruised, occiput, motion, on (agg.) / motion amel. | PAIN, sore, bruised, occiput, motion, on (agg.) / open air amel. | PAIN, sore, bruised, occiput, motion, on (agg.) / right | PAIN, temples, stooping, from (agg.) / Temples and Forehead | PAIN, temples, stooping, from (agg.) / eye | PAIN, weather, warm, begins with the (agg.) / Forehead, in | PAIN, weather, warm, begins with the (agg.) / occiput | THINKING, aversion to / complaints, of, agg.","CLOSING eyes, on / amel. | ENNUI (See Loathing of Life) / entertainment amel. | EXCITEMENT, excitable / ameliorates | MEDITATING, in / thinking of something else amel. | OCCUPATION, amel. | PAIN, air, open, amel. / alone, when | PAIN, air, open, amel. / amel. | PAIN, air, open, amel. / diversion of the mind | PAIN, air, open, amel. / lying, while | PAIN, chewing (See Masticating) / diverted, when, amel. | PAIN, forehead, business men / amel. | PAIN, forehead, eyes, above, left, then right / amel. | PAIN, forehead, right side / amel. | PAIN, listening to reading and talking / amel. | PAIN, occiput, bending head backward, amel. / amel.","AMUSEMENT, averse to / desire for | CHEERFUL, gay, happy (See Mirth) | DULLNESS, sluggishness, difficulty of thinking and comprehending | DULLNESS, sluggishness, difficulty of thinking and comprehending / afternoon | ENNUI (See Loathing of Life) | ENNUI (See Loathing of Life) / entertainment amel. | EXCITEMENT, excitable / ameliorates | EXHILARATION | FANCIES, absorbed in / exaltation of | FEAR (See Anxiety) | FEAR, putrefy, body will / suffering, of | HURRY / eating, while | INDOLENCE, afternoon / sleep, after | INDUSTRIOUS | IRRITABILITY (See Anger) / noise, from","[g2|MIND] MIRTH, morning, waking, on / emission, after an | [g2|VERTIGO] THINKING about it, on | [g2|VERTIGO] WILL, exerting, the, amel. | [g2|HEAD] PAIN, forehead, business men / diversion | [g2|HEAD] PAIN, shooting, forehead, over eyes / 3 p.m. | [g2|HEAD] PAIN, sore, bruised, occiput, motion, on (agg.) / motion amel. | [g2|HEAD] PAIN, sore, bruised, occiput, motion, on (agg.) / open air amel. | [g2|HEAD] PAIN, sore, bruised, occiput, motion, on (agg.) / 3 p.m. | [g2|HEAD] PAIN, stitching, sides, extending, deep into brain / 3 p.m. | [g2|FACE] PAIN, air, open, amel. / alone, when | [g2|FACE] PAIN, air, open, amel. / diversion of the mind | [g2|STOMACH] APPETITE, emptiness, with (See Emptiness) / 8 p.m. | [g2|RECTUM] URGING, desire (See Tenesmus)"
pip-n,4,2,3,ABDOMEN(2); BLADDER(1); URETHRA(1),,,,"[g2|ABDOMEN] SHOCKS / motion, on"
plan,352,2,20,HEAD(72); MIND(45); ABDOMEN(41); FACE(29); STOMACH(23); RECTUM(23),"ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / mental exertion | DRAGGING, heaviness, weight | EXERTION, agg. from mental | PAIN, bending head, to one side (agg.) / amel. | PAIN, bending head, to one side (agg.) / chill, before the | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, cramping, griping, sitting, while (agg.) / after | PAIN, cramping, griping, sitting, while (agg.) / during | PAIN, evening, on reading and writing / pressure agg. | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / intermittent pains | PAIN, morning (agg.) / waking, on | PAIN, occiput, warm clothing agg. / ears, to | PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness) | PAIN, sore, bruised, jarring agg. / Brain, in","CRAWLING in (See Formication, Itching) / amel. | DULLNESS, sluggishness, difficulty of thinking and comprehending / in open air amel. | FULLNESS, sensation of / sitting amel. | PAIN, air, open, amel. / eating, while | PAIN, air, open, amel. / or heat | PAIN, bending double, amel. / diarrhœa, as if, would come on | PAIN, bending head, to one side (agg.) / amel. | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, doubling up (See Bending) / amel. | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / intermittent pains | PAIN, hypochondria, lying on back, amel. / Iliac region | PAIN, hypochondria, lying on back, amel. / motion, from | PAIN, listening to reading and talking / amel. | PAIN, occiput, sides of, waking, after / painful side amel. | PAIN, pressing, vertex, binding head up amel. / Shooting (See Cutting, Lancinating, Shocks, Stitches, etc.)","ANGUISH / night | ANXIETY | ANXIETY, chill, during / fever, during | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / mental exertion | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / dinner, after | CONFUSION of mind (See Concentration) / eating, after | CONTRADICTION, is intolerant of | DULLNESS, sluggishness, difficulty of thinking and comprehending / afternoon | DULLNESS, sluggishness, difficulty of thinking and comprehending / in open air amel. | EXCITEMENT, excitable | EXERTION, agg. from mental | FANCIES, absorbed in / exaltation of | FORGETFUL (See Memory)","[g2|MIND] RESTLESSNESS, nervousness / pacing back and forwards | [g2|HEAD] PAIN, listening to reading and talking / feeling in brain | [g2|HEAD] PAIN, shooting, temples, pressure amel. / in bed | [g2|HEAD] PAIN, sore, bruised, occiput, motion, on (agg.) / lying on painful side amel. | [g2|HEAD] WEAKNESS / evening | [g2|EYE] HAIR falling from brows / sensation of, in eye | [g2|EYE] PAIN, evening, on reading and writing / walking and driving | [g2|NOSE] DISCHARGE, viscid, posterior nares from / watery | [g2|NOSE] DISCHARGE, viscid, posterior nares from / right | [g2|FACE] DISCOLORATION, pale, lips, menses, during / tea, drinking after | [g2|FACE] PAIN, sun, come and go with / warm, becoming | [g2|TEETH] PAIN, warmth, of bed agg. / left side | [g2|TEETH] SORDES (See Mucus) / bloody | [g2|THROAT] PAIN, drawing, swallowing, when not / waking, on | [g2|ABDOMEN] FULLNESS, sensation of / while walking in open air | [g2|ABDOMEN] FULLNESS, sensation of / sitting amel. | [g2|ABDOMEN] PAIN, left to right / daytime | [g2|ABDOMEN] PAIN, evening / stooping, on | [g2|ABDOMEN] PAIN, stool, after, amel. / noon | [g2|ABDOMEN] RESTLESSNESS, uneasiness, etc. / breakfast, during"
plat,1156,2,19,MIND(345); HEAD(202); ABDOMEN(120); FACE(99); STOMACH(77); EAR(60),"ADMONITION agg. | AGGLUTINATED | ANXIETY, evening, bed, in (agg.) / air, in open | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / during | ANXIETY, flatus, from (agg.) / flushes of heat, during | ANXIETY, flatus, from (agg.) / house, in | ANXIETY, flatus, from (agg.) / in company | ANXIETY, flatus, from (agg.) / in open air | ANXIETY, flatus, from (agg.) / periodical | ANXIETY, flatus, from (agg.) / salvation, about | ANXIETY, flatus, from (agg.) / shuddering, with | ANXIETY, flatus, from (agg.) / speaking, when | ANXIETY, flatus, from (agg.) / sudden | ANXIETY, flatus, from (agg.) / suicidal","DELUSIONS, enlarged, eyes are / open air amel. | ERUCTATIONS / ameliorate | FEAR (See Anxiety) / amel. | FLATUS / amel. | LEWDNESS (See Shameless) | LEWDNESS (See Shameless) / lewd talk | NOISES, rushing / while in bed amel. | NUMBNESS, sensation of (See Asleep) / preceded by feeling as if scalp and brain were contracted; amel. motion and open air | NUMBNESS, sensation of (See Asleep) / walking in open air amel. | PAIN, air, open, amel. / amel. | PAIN, air, open, amel. / chewing, when (See Motion) | PAIN, air, open, amel. / gradually increasing and decreasing | PAIN, air, open, amel. / inflammatory | PAIN, air, open, amel. / lying, while | PAIN, air, open, amel. / numbness with","ABSENT-MINDED (See Forgetful) | ABSTRACTION of mind | ADMONITION agg. | AFFECTIONATE (See Love, Indifference) | ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger with anxiety | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | ANGER, irascibility (See Irritability and Quarrelsome) / indignation | ANGER, irascibility (See Irritability and Quarrelsome) / silent grief | ANGER, irascibility (See Irritability and Quarrelsome) / with fright | ANGUISH | ANGUISH / during | ANGUISH / walking in open air | ANXIETY | ANXIETY / daytime","[g2|MIND] ABSENT-MINDED (See Forgetful) | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | [g2|MIND] ANGUISH | [g2|MIND] ANXIETY, flatus, from (agg.) / in company | [g2|MIND] CHEERFUL, daytime / pain, with | [g2|MIND] CHEERFUL, daytime / physical sufferings | [g2|MIND] CHILDREN, aversion to | [g2|MIND] CONTEMPTUOUS (See Scorn) | [g2|MIND] CONTEMPTUOUS (See Scorn) / in open air or when sun shines into room | [g2|MIND] CONTEMPTUOUS (See Scorn) / paroxysms against her will | [g2|MIND] CONTEMPTUOUS (See Scorn) / of everything | [g2|MIND] DELUSIONS, animals, abdomen, are in / belong to her own family, does not | [g2|MIND] DELUSIONS, conspiracies against her father, thought the landlord's bills were / in two | [g2|MIND] DELUSIONS, conspiracies against her father, thought the landlord's bills were / present, are | [g2|MIND] DELUSIONS, conspiracies against her father, thought the landlord's bills were / that all persons are | [g2|MIND] DELUSIONS, die, time has come to / everything in room, is while she is tall and elevated | [g2|MIND] DELUSIONS, die, time has come to / disgraced, that she is | [g2|MIND] DELUSIONS, die, time has come to / or cut in two | [g2|MIND] DELUSIONS, enlarged, eyes are / family, does not belong to her own | [g2|MIND] DELUSIONS, enlarged, eyes are / open air amel."
plat-m,2,1,2,MIND(1); URETHRA(1),,,"DELUSIONS, poisoned, thought he had been / poisoned, thought he had been",
plb,1303,2,22,MIND(232); ABDOMEN(193); STOMACH(140); HEAD(124); MOUTH(105); FACE(91),"AGGLUTINATED | AGGLUTINATED / evening | AGGLUTINATED / morning | AGGLUTINATED / night | ANXIETY, evening, bed, in (agg.) / night | CHOKING, clothing agg. / below upwards | CHOKING, clothing agg. / raising arm | CHOKING, clothing agg. / swallowing, on (Compare Retching under Stomach) | CHOKING, clothing agg. / Œsophagus | CONSTIPATION, alternate days, agg. / alternating with diarrhœa | CONSTIPATION, alternate days, agg. / constant desire | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTIPATION, alternate days, agg. / insufficient, incomplete, unsatisfactory stools | CONSTRICTION, morning (agg.) / Forehead","AIR, open, in / amel. | COMPANY aversion to / amel., when alone | FLATUS / amel. | HEAT, cold water, amel. / abdomen, from | HEAT, cold water, amel. / coldness of body, with | HEAT, cold water, amel. / redness of face, with | HEAT, cold water, amel. / rising up | PAIN / lancinations, friction and pressure amel. | PAIN, air, open, amel. / lying, while | PAIN, air, open, amel. / rubbing amel. | PAIN, bending double, amel. / cold, becoming, from | PAIN, bending double, amel. / constipation, from | PAIN, bending double, amel. / cough, during | PAIN, bending double, amel. / during (colic) | PAIN, cramping, griping, bending forward amel. / bending forward amel.","ABSENT-MINDED (See Forgetful) | ABUSIVE | ANSWERS, abruptly, shortly, curtly | ANSWERS, abruptly, shortly, curtly / imaginary questions | ANSWERS, abruptly, shortly, curtly / monosyllable | ANSWERS, abruptly, shortly, curtly / slowly | ANSWERS, spoken to, when, yet knows no one / stupor returns quickly after | ANTICS, plays | ANXIETY | ANXIETY, chill, during / fever, during | ANXIETY, evening, bed, in (agg.) / night | ATTITUDES, assumes strange | BITING | BITING / fingers | BITING / himself","[g2|MIND] ATTITUDES, assumes strange | [g2|MIND] COMPANY aversion to / friend, of a | [g2|MIND] DELIRIUM / alternating with colic | [g2|MIND] DELIRIUM / coma, also with somnolency | [g2|MIND] DELIRIUM / urinate on the floor, tries to | [g2|MIND] DELIRIUM / wild | [g2|MIND] DELIRIUM / at night | [g2|MIND] DELUSIONS, animals, abdomen, are in / ants, bed seems full of | [g2|MIND] DELUSIONS, body adherent to woollen sack, night, while half awake / castles and palaces, sees | [g2|MIND] DELUSIONS, conspiracies against her father, thought the landlord's bills were / to his life | [g2|MIND] DELUSIONS, conspiracies against her father, thought the landlord's bills were / husband | [g2|MIND] DELUSIONS, die, time has come to / dolls, people appeared like | [g2|MIND] DELUSIONS, lip, lower, is swollen / machine, thinks he is working a | [g2|MIND] DELUSIONS, lip, lower, is swollen / that every one around him is a murderer | [g2|MIND] DELUSIONS, poisoned, thought he had been / friends, by | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending | [g2|MIND] ENNUI (See Loathing of Life) / afternoon | [g2|MIND] GESTURES, makes / and unfolding coverings | [g2|MIND] GESTURES, makes / head, to the | [g2|MIND] MEMORY active (See Ideas) / weakness of (See Mistakes)"
plect,18,2,3,HEAD(12); MIND(5); ABDOMEN(1),"CONSTRICTION, morning (agg.) / extending to finger joints | PAIN, pressing, forehead, eyes, over, menses, during / air, open, agg.","PAIN, drawing / house, on entering, amel. | PAIN, rising, from sitting, amel. / stooping, from","CONCENTRATION active / difficult | IRRITABILITY (See Anger) | IRRITABILITY (See Anger) / noise, from | THOUGHTS of death (See Death) / wandering | WEEPING, night, weeps all night, laughs all day / aloud","[g2|HEAD] CONSTRICTION, morning (agg.) / extending to finger joints | [g2|HEAD] PAIN, pressing, forehead, eyes, over, menses, during / lying on back"
podo,518,2,19,RECTUM(93); ABDOMEN(89); STOMACH(84); HEAD(59); STOOL(55); MOUTH(34),"CONSTIPATION, alternate days, agg. / alternating with diarrhœa | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CRAWLING in (See Formication, Itching) / back, on the, agg. | CRAWLING in (See Formication, Itching) / motion agg. | GAGGING (See Nausea) | HÆMORRHOIDS, bluish / parturition agg. | PAIN, bending head, to one side (agg.) / during | PAIN, clothing about the neck agg. / constipated, while | PAIN, cramping, griping, sitting, while (agg.) / Umbilicus, region of | PAIN, cramping, griping, sitting, while (agg.) / during | PAIN, cramping, griping, sitting, while (agg.) / stool, before | PAIN, cutting, sleep, during (agg.) / Forehead | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / light, in general, from | PAIN, morning (agg.) / morning","CRAWLING in (See Formication, Itching) / amel. | CRAWLING in (See Formication, Itching) / warm application amel. | HEAT, cold water, amel. / Temples | HEAT, cold water, amel. / Vertex | HEAT, cold water, amel. / morning | PAIN, bending double, amel. / amel. | PAIN, bending double, amel. / during | PAIN, bending double, amel. / during (colic) | PAIN, bending double, amel. / while lying on side amel. | PAIN, cramping, griping, bending forward amel. / constipation, during | PAIN, cramping, griping, bending forward amel. / pressure amel. | PAIN, doubling up (See Bending) / amel. | PAIN, doubling up (See Bending) / flexing limbs amel. | PAIN, heated, from becoming, walking, agg. head, but amel. pain of limbs / light, in general, from | PAIN, inguinal region, extending, pubis / rubbing amel.","CONFUSION of mind (See Concentration) / morning | DEATH, desires (See Loathing of Life) / presentiment of | DELIRIUM | DELUSIONS, conspiracies against her father, thought the landlord's bills were / die, thought he was about to | DELUSIONS, shoulder, thinks people are looking over his / sick, imagines himself | DELUSIONS, shoulder, thinks people are looking over his / that he was going to be | DESPAIR | DESPAIR, pains, with the, in the stomach / religious (of salvation etc.) | DISCOURAGED | EXCITEMENT, excitable | FEAR, dawn, of the return of / death, of | FEAR, dawn, of the return of / disease, of impending | FORGETFUL, mental exertion, from / words, of, while speaking | LOATHING, general / life (See Desires, Death) | LOQUACITY (See Speech)","[g2|MIND] LOQUACITY (See Speech) / chill, during | [g2|HEAD] FULLNESS, morning, 10 a.m. to 10 p.m. / with vertigo | [g2|HEAD] HEAT, cold water, amel. / morning | [g2|HEAD] PAIN, alcoholics (See Spirituous Liquor) / diarrhœa | [g2|HEAD] PAIN, walking, compelled to stand or walk / shoulders, amel. lying in a dark, quiet place, and from sleep | [g2|HEAD] PAIN, pressing, occiput, sides of, turning the head / drawing in eyes, as from strabismus | [g2|EYE] PAIN, turning sideways / forenoon | [g2|MOUTH] ODOR (breath), acrid / night | [g2|STOMACH] EMPTINESS, weak feeling, faintness, goneness, hungry feeling | [g2|STOMACH] EMPTINESS, weak feeling, faintness, goneness, hungry feeling / 2 a.m. | [g2|STOMACH] ERUCTATIONS, eating, while / bitter | [g2|STOMACH] ERUCTATIONS, food (regurgitation), eating, immediately after / eating, after | [g2|STOMACH] PAIN, burning, morning / cramping, griping, constricting | [g2|STOMACH] PAIN, burning, morning / 3 a.m. | [g2|STOMACH] PAIN, sore, clothing agg. / amel. | [g2|STOMACH] SINKING (See Emptiness) / stool, after | [g2|STOMACH] VOMITING, bile, lying on right side or back / cold water | [g2|ABDOMEN] ANXIETY in / after | [g2|ABDOMEN] EMPTINESS | [g2|ABDOMEN] EMPTINESS / stool, after"
polyg-h,30,2,11,BLADDER(9); HEAD(3); FACE(3); MOUTH(3); RECTUM(3); NOSE(2),"CONSTIPATION, alternate days, agg. / alternating with diarrhœa | PAIN, morning (agg.) / forenoon | PAIN, pressing, hypogastrium, walking, while (agg.) / Spleen",,,[g2|FACE] COLDNESS / when pain is most severe in left
pop-t,6,1,2,BLADDER(5); URETHRA(1),,,,
potatoes,1,1,1,STOMACH(1),,,,
poth,29,2,8,NOSE(9); MOUTH(9); MIND(3); HEAD(3); THROAT(2); FACE(1),"PAIN, yawning, when (agg.) / on sneezing",,"ANGUISH / stool, before | CONCENTRATION active / difficult | CONTRADICT, disposition to","[g2|NOSE] DISCOLORATION, black (See Sooty) / saddle (red) | [g2|NOSE] SWELLING of / red, like a saddle | [g2|MOUTH] PAIN / sneezing, on | [g2|THROAT] PAIN, yawning, when (agg.) / on sneezing"
preceding,1,1,1,VERTIGO(1),,,,
pressing,13,1,5,HEAD(8); ABDOMEN(2); STOMACH(1); RECTUM(1); BLADDER(1),,"PAIN, pressing, occiput, sides of, turning the head / pressure amel. | PAIN, pressing, thinking of it / amel.",,
pretended,1,1,1,MIND(1),,,"BLACK and sombre, everything that is, aversion to",
prolapsus,1,2,1,RECTUM(1),,,,"[g2|RECTUM] PROLAPSUS / hæmorrhage of rectum, after"
prun-,2,1,2,STOOL(1); URETHRA(1),,,,
prun-s,258,2,17,HEAD(59); ABDOMEN(43); BLADDER(43); EYE(24); URETHRA(14); EAR(11),"PAIN, clothing about the neck agg. / after | PAIN, cramping, griping, sitting, while (agg.) / Hypogastrium | PAIN, cramping, griping, sitting, while (agg.) / bending double, compelling | PAIN, cramping, griping, sitting, while (agg.) / walking, while | PAIN, paroxysmal pains / pressure, external, agg. | PAIN, pressing, hypogastrium, walking, while (agg.) / Liver | PAIN, pressing, hypogastrium, walking, while (agg.) / lying on right side | PAIN, pressing, hypogastrium, walking, while (agg.) / right | PAIN, pressing, motion, on (agg.) / outward | PAIN, pressing, motion, on (agg.) / sharp instrument, as if by a | PAIN, sore, bruised, jarring agg. / Forehead | PAIN, sore, bruised, jarring agg. / mental exertion, after | PAIN, temples, alternating with heat of face / pressure agg. | PAIN, tenesmus, stool, after (agg.) / urination, during | PAIN, weather, warm, begins with the (agg.) / Brain, aching deep in","PAIN / when urine starts he is amel. | PAIN, bending double, amel. / amel. | PAIN, bending double, amel. / diarrhœa, as if, would come on | PAIN, cramping, griping, bending forward amel. / bending forward amel. | PAIN, hypochondria, lying on back, amel. / Hypogastrium | PAIN, hypochondria, lying on back, amel. / amel. | PAIN, hypochondria, lying on back, amel. / desire to urinate be delayed, if | PAIN, hypochondria, lying on back, amel. / doubling up | PAIN, hypochondria, lying on back, amel. / night | PAIN, occiput, bending head backward, amel. / sleep, after | PAIN, occiput, bending head backward, amel. / stooping | PAIN, pressing, morning / amel. | PAIN, pressing, vertex, binding head up amel. / Forehead | PAIN, pressing, vertex, binding head up amel. / extending, occiput, to | PAIN, pressing, vertex, binding head up amel. / right","DISCONTENTED, displeased, dissatisfied, etc. | HURRY / walking, while | INDIFFERENCE, apathy, etc. | INDIFFERENCE, complain, does not, unless questioned, then say nothing of his / pleasure, to | IRRITABILITY (See Anger) | RESTLESSNESS, nervousness | SADNESS, mental depression | THINKING, aversion to / amel. | WEEPING, tearful mood, etc. / morning","[g2|HEAD] PAIN, weather, warm, begins with the (agg.) / occiput | [g2|HEAD] PAIN, weather, warm, begins with the (agg.) / right side | [g2|HEAD] PAIN, forehead, right side / right side | [g2|HEAD] PAIN, forehead, right side / occiput, through head | [g2|HEAD] PAIN, forehead, turning eyes upward / extending backward | [g2|HEAD] PAIN, forehead, turning eyes upward / occiput, to | [g2|HEAD] PAIN, dull, occiput / extending backward | [g2|HEAD] PAIN, pressing, motion, on (agg.) / sharp instrument, as if by a | [g2|HEAD] PAIN, pressing, vertex, binding head up amel. / Forehead | [g2|HEAD] PAIN, pressing, vertex, binding head up amel. / right | [g2|HEAD] PAIN, pressing, vertex, binding head up amel. / extending, occiput, to | [g2|HEAD] PAIN, shooting, forehead, over eyes / right | [g2|HEAD] PAIN, shooting, forehead, over eyes / extending occiput, to | [g2|HEAD] PAIN, shooting, forehead, over eyes / eye | [g2|EYE] PAIN, evening, on reading and writing / night | [g2|EYE] PAIN, evening, on reading and writing / motion of eyes, on | [g2|EYE] PAIN, evening, on reading and writing / periodic | [g2|EYE] PAIN, turning sideways / bursting | [g2|EYE] PAIN, turning sideways / crushing | [g2|EYE] PAIN, sand, as from, right / sore, bruised, tender"
psor,1055,2,22,HEAD(200); MIND(119); FACE(98); STOMACH(88); EAR(84); EYE(76),"AGGLUTINATED / morning | ANXIETY, flatus, from (agg.) / down hill | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / health, about | ANXIETY, flatus, from (agg.) / morning | ANXIETY, flatus, from (agg.) / riding, while | ANXIETY, flatus, from (agg.) / salvation, about | CONFUSION, thinking of it agg. / waking, on | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTIPATION, alternate days, agg. / natural stool | CONSTIPATION, alternate days, agg. / soft stool | CONSTRICTION, morning (agg.) / Forehead | CONSTRICTION, morning (agg.) / Occiput | CONSTRICTION, morning (agg.) / string, as if by","CONFUSION of mind (See Concentration) / amel. | CONSTIPATION, lean far back to pass a stool, must / with general amel. | FULLNESS, morning, 10 a.m. to 10 p.m. / eating amel. | FULLNESS, morning, 10 a.m. to 10 p.m. / washing amel. | HEAT, cold water, amel. / epistaxis amel. | ITCHING, rubbing amel. / touched, when | PAIN / amel. | PAIN, afternoon, 3 p.m. / amel. | PAIN, bending double, amel. / cough, during | PAIN, bending head, to one side (agg.) / amel. | PAIN, clothing about the neck agg. / amel. | PAIN, clothing about the neck agg. / cold applications amel. | PAIN, cramping, griping, bending forward amel. / amel. | PAIN, cramping, griping, bending forward amel. / riding, while | PAIN, cramping, griping, umbilicus, region of, morning / flatus, passing, amel.","ANGER, irascibility (See Irritability and Quarrelsome) | ANGUISH | ANGUISH / 5 a.m. to 5 p.m. | ANGUISH / daytime | ANXIETY | ANXIETY / 5 a.m. to 5 p.m. | ANXIETY / daytime | ANXIETY, chill, during / after | ANXIETY, chill, during / conscience, of (as if guilty of a crime) | ANXIETY, chill, during / fear, with | ANXIETY, flatus, from (agg.) / down hill | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / health, about | ANXIETY, flatus, from (agg.) / morning | ANXIETY, flatus, from (agg.) / riding, while","[g2|MIND] ANGUISH / 5 a.m. to 5 p.m. | [g2|MIND] ANXIETY | [g2|MIND] ANXIETY / 5 a.m. to 5 p.m. | [g2|MIND] ANXIETY, chill, during / conscience, of (as if guilty of a crime) | [g2|MIND] ANXIETY, chill, during / fear, with | [g2|MIND] ANXIETY, flatus, from (agg.) / morning | [g2|MIND] DELUSIONS, fire, every noise is a cry of fire, she thinks, and she trembles / fortune, that he was going to lose his | [g2|MIND] DESPAIR | [g2|MIND] DESPAIR / itching of the skin, from | [g2|MIND] DESPAIR, pains, with the, in the stomach / convalescence, during | [g2|MIND] FEAR (See Anxiety) | [g2|MIND] FEAR, dawn, of the return of / evil of | [g2|MIND] FEAR, dawn, of the return of / failure, of, in business | [g2|MIND] FEAR, labor, after / misfortune, of | [g2|MIND] FORSAKEN feeling | [g2|MIND] PLAYFUL / alternating with melancholy | [g2|MIND] RESTLESSNESS, nervousness / storm, before | [g2|MIND] RIDING in a carriage, averse to | [g2|MIND] SADNESS, mental depression | [g2|MIND] SADNESS, morning, rising, after, amel. / itching, from"
